"Сведения о страховых премиях в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",8526241.77587,8495380.37416,8074585.98943,6688975.32477,2999896.1993,,337777.589,2236499.5093,425619.101,,,,,,,,3685380.31647,,168195.10271,2574298.73031,926328.61545,16557.868,3698.809,3440.973,88.682,169.154,,,,,,,,,1385610.66466,,,,,,,,,,,,,1371861.6878,126.487,1916.774,526930.71862,784169.88815,58717.82003,13748.97686,8499.186,87.399,265.07604,1098.40263,3798.91319,,,,,,,420794.38473,410377.16475,178.28378,,,,178.28378,,,,,,,,190552.26597,,512.5463,77858.00693,112181.71274,,219646.615,203980.632,10092.369,5573.614,,,,,,,,,10417.21998,,,,,,,,,,,,,,,,,,,10417.21998,,,708.66606,4195.24738,5513.30654,,,,,,,562.48904,,,,,,,562.48904,,,,,562.48904,30298.91267,29949.66967,,,,14135.92468,,15813.74499,349.243,,,349.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3826,"Общество с ограниченной ответственностью ""Вита-страхование""",580871.27237,37967.38112,37550.37785,4283.74817,,,,,,,4181.07617,4181.07617,,,,,102.672,102.672,,,,,,,,,,,,,,,,,33266.62968,,,,,,,4.07941,,,2.75883,1.32058,,33262.55027,11369.97452,13466.78824,7144.33842,677.00161,604.44748,,,,,,,,,,,,,417.00327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.00327,,,,,,,,,,,,,417.00327,,,0.12821,2.64465,414.23041,,,,,,,,,,,,,,,,,,,,,,,,,,542795.28708,21820.1708,16.35712,,,19074.36838,,2729.4453,520975.11628,103.72855,54071.24323,466800.1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.60417
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",4932676.104189999,945742.21072,95138.6404,58030.2343,,,,,,,,,,,,,65244.84427,,,10874.36827,54370.476,,-7214.60997,-13872.43897,6300.06945,357.75955,,,,,,,,,37108.4061,,,,,,,,,,,,,1983.29564,,,,1350,633.29564,35125.11046,2378.70926,21778.91265,8234.64668,410.7354,2322.10647,,,,,,,850603.57032,558576.07629,541500.59518,,,410620.96323,130879.63195,,,,,,,,17075.48111,,,-343.89271,18159.57039,-740.19657,,,,,,,,,,,,,292027.49403,,,,,,,,,,,,,292027.49403,,,8280.43753,15572.42874,268174.62776,,,,,,,,,,,,,74.46363,,,,,,,74.46363,,,,,74.46363,3986859.42984,53361.64198,,,,,,53361.64198,3933497.78786,,,3933497.78786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",2274.39588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.47244,589.77796,,,532.09,57.68796,,,1076.69448,,961.09448,115.6,607.92344,338.54999,,,,,339.5603,,,,48.10228,,,,,,,,,,,,-119,,,-119,69.88741,69.88741,,,174,,,,,,,,,,,,,,,,,4.3,4.3,,,,,169.7,,,,,,,,169.7,,,95.37345,95.37345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-М""",42324.88972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42324.88972,,,,,,,,42324.88972,,42324.88972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",1040024.70036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361318.97508,4778.87995,,,,4777.87995,,1,356540.09513,435.58285,348771.24128,7333.271,673717.84528,651295.08596,1705.56,1705.56,,,163701.27065,,,,478480.69289,,,,,,,,,,,,4133.76242,,,4133.76242,3273.8,3273.8,,,22422.75932,31.1,31.1,,,,21452.0524,,,,,,,,,,,939.60692,14.87848,,,,924.72844,,,,,,,,,,,,,,,,,,,,,,,,,4987.88,4935.18,,3.145,49.555,,,,,,,,,,,,,,,,,,,,
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",830462.44491,812930.41996,812930.41996,550899.80198,450504.748,76019.473,194969.083,179516.192,,,67007.56498,3478.59482,63576.43373,-47.46357,,,33387.489,,33387.489,,,,,,,,,,,,,,,,262030.61798,,,,,,,,,,,,,261788.53198,788.888,,183109.03247,71838.58709,6052.02442,242.086,,,242.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17532.02495,17532.02495,,,,,12092.99464,5439.03031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",260708.71054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90084.52544,88132.01701,,,,,,88132.01701,1952.50843,1952.50843,,,144464.99316,124020.08219,7515.77467,,7515.77467,,8740.96593,,,,-16.36788,4639.85139,,,,,,4639.85139,,,4639.85139,,10835.52659,,,10835.52659,92304.33149,74100.88485,1455.92735,16747.51929,20297.52401,2.7,2.7,,,,81.8,,,,,,,,-595.27565,,-595.27565,20808.29966,,,,,20808.29966,,,,,,,,,,,,147.38696,0.12063,,147.26633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26159.19194
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",84338.31328,76038.73537,68091.82281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68091.82281,,,,,,,,,,,,,68091.82281,,,3602.37657,13851.40475,50638.04149,,,,,,,,,,,,,7946.91256,1519.248,,,,,,,,,,,,,1519.248,,,,296.628,1222.62,,,,,,,,,,,,,6427.66456,,,,,,,,,,,,,6427.66456,,,,1089.33541,5338.32915,,,,,,,,,,,,,,,,,,,,,,,,,,8299.57791,8299.57791,,,,42,,8257.57791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",4457899.61811,4323631.96091,577920.23097,461483.7746,,,,,,,78259.159,69.043,11450.099,66740.017,,,381870.26487,138000,137040.50127,104486.675,2343.0886,,1354.35073,,,-2.23827,,1356.589,,,,,,,116436.45637,,,,,,,,,,,,,51936.01947,,,48211.05934,3588.46013,136.5,64500.4369,,2.7262,296.67634,731.1893,63469.84506,,,,,,,3745711.72994,2553760.89649,2537968.77889,485287.59024,541170.13535,1167213.28641,344297.76689,,,,,,,,15492.52592,,,3798.35,16772.89292,-5078.717,299.59168,,,,,299.59168,,,,,,,1191950.83345,384760.20663,,,384760.20663,,,,,,,,,798592.87708,1510.3755,7780.97184,391460.24768,308715.80306,89125.479,8597.74974,,,286.1183,575.03297,7736.59847,,,,,,,,,,,,,,,,,,,,134267.6572,121889.09872,,,,116444.80514,,5444.29358,12378.55848,,,12378.55848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",417221.17701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322044.18288,33825.1753,,,,,,33825.1753,288219.00758,1420.55419,259381.27388,27417.17951,95176.99413,90444.87684,37418.46944,37418.46944,,395.02216,4894.02414,43.55843,,43.55843,1154.83211,,,,,,,,,,,,34168.41903,,12637.32161,21531.09742,12370.55153,11319.98068,1027.35781,23.21304,1807.3205,39.09005,39.09005,,,,42.51,,,,,,,,,,,1725.72045,797.02184,,,,928.69861,,,,,,,,,,,,2924.79679,,,2924.79679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943,"Общество с ограниченной ответственностью ""Страховая компания ""АК БАРС-Мед""",200897.76179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200897.76179,,,,,,,,200897.76179,,191035.80419,9861.9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3947,"Акционерное общество ""АИГ страховая компания""",285334.98566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279634.74124,184343.21107,,,,,,,,,87028.65156,,,,,,,,,,,,97314.55951,,,97314.55951,,,,,5069.10424,1910.09774,1910.09774,,,,,,,,,,,,537.05092,,537.05092,2621.95558,,,,,2621.95558,,,,,,,,,,,,90222.42593,,,90222.42593,,,,,,,,,,626.875,626.875,,,,,,,,,,,,,,,,,,,,,,,5073.36942
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",777244.1481100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341845.65314,75095.78375,11173.46218,14118.4219,,13094.39348,,36709.50619,266749.86939,,201086.87039,65662.999,262178.96955,203749.80687,79651.27853,78531.60328,1119.67525,,,3373.32282,2962.73102,410.5918,43289.27957,6075.60244,1375.7123,1069.70688,,306.00542,,4699.89014,,,4699.89014,,46113.54653,11528.27059,764.30333,33820.97261,25246.77698,13042.64424,10966.55954,1237.5732,42645.79865,625.40468,625.40468,,,,,3633.38785,3465.65235,167.7355,,,,,8736.32479,8736.32479,,28651.34133,347.49499,,1290.91,143.5,26869.43634,999.34,,,,,,,,887.5,111.84,,15783.36403,565.11245,,15218.25158,,,,,,,,,181267.04084,,,,,,,,,,,,,,,,,,,,,,,,,-8047.51542
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",272252.28179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13359.92805,13359.92805,5776.12739,,1171.5841,6412.21656,,,,,,,258892.35374,127035.38287,,,,,,,,,56334.34611,,,,,,,,,,,,69036.88252,,17478.05972,51558.8228,1664.15424,,,1664.15424,102290.60581,,,,,,,,,,,,,,192.82014,192.82014,,102097.78567,261.11895,,,,101836.66672,,,,,,,,,,,28919.47884,646.88622,,,646.88622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",8339077.98955,8013504.75437,4380870.29571,3951412.59097,,,,,,,2241510.0384,271863.14253,445085.95459,1016799.33649,507761.60479,,1542614.2693,938759.07375,591980.93267,11867.56802,1.34465,5.35021,167288.28327,166972.19816,316.08511,,,,,,,,,,429457.70474,,,,,,,12648.57661,,18.41113,118.86181,896.97824,11614.32543,414568.71107,1539.59792,113.98787,397946.89529,7366.2973,7601.93269,2240.41706,1270.63618,-43.75226,589.67626,336.041,87.81588,,,,,,,3632634.45866,2096389.47008,1731776.00933,,150236.7064,1165358.8614,416180.44153,,57235.69567,1655.0714,3325.41651,21066.44881,31188.75895,,270805.79696,,,270496.23675,35.945,273.61521,36571.96812,13951.10432,22662.8638,,-42,,,,,,,,1536244.98858,-178.35538,,-751.55522,573.19984,,,,,,,,,1529185.26035,3975.44339,109.05919,1234794.8267,147104.60507,143201.326,7238.08361,7238.08361,,,,,,,,,,,29222.77097,,,,,,,29222.77097,,,,,29222.77097,291875.09873,172104.21489,,,,,,172104.21489,119770.88384,,,119770.88384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475.36548
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",5608303.44028,4282722.38456,1062998.52953,624799.7917,,,,,,,252811.8234,143738.59315,102604.79036,3387.86812,3073.89502,6.67675,336498.15971,,46777.13383,180842.65097,108881.67803,-3.30312,1600.98295,1450.52001,131.09756,19.36538,,,33888.82564,7195.2416,13572.31867,,,13121.26537,438198.73783,,,,,,,,,,,,,47056.03953,,1349.96825,6594.78336,21476.44565,17634.84227,880.34173,194.3,98.55533,163.1912,222.96083,201.33437,390262.35657,,,,,390262.35657,3219723.85503,729904.81406,680015.57572,,350.356,54517.0446,621963.42166,3184.75346,,,,,,,45691.54916,,,33745.09137,10758.59405,1187.86374,,,,,,,4197.68918,,3120,,,1077.68918,2489819.04097,280267.50352,,,88456.93346,184898.53043,6912.03963,,,,,,,2208982.70593,,,1034859.74208,691029.28115,483093.6827,,,,,,,568.83152,,,,24.5079,544.32362,57413.14021,1061.24034,,,,525.28727,535.95307,56351.89987,,,,8132.56198,48219.33789,1268167.91551,559489.76919,263.26067,,15704.17731,751.68091,,542770.6503,708678.14632,5998.0109,105,702575.13542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",1248933.80394,1138746.73724,1046649.71463,1044332.67384,573456.34281,,248547.96937,324908.37344,,,470722.48503,159.53367,45974.45609,425824.44734,-1235.95207,,153.846,,,,153.846,,,,,,,,,,,,,,2317.04079,,,,,,,,,,,,,2317.04079,,15.5,210.132,616.26351,1475.14528,,,,,,,,,,,,,92097.02261,56776.90863,,,,,,,,,,,,,56776.90863,,,45142.90862,10888.723,745.27701,,,,,,,,,,,,,35320.11398,10.125,,,,10.125,,,,,,,,35309.98898,,,22841.37079,7618.15988,4850.45831,,,,,,,,,,,,,244.41623,,,,,,,244.41623,,,,,244.41623,246.09741,197.98079,,,,,,197.98079,48.11662,,,48.11662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109696.55306
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",298.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.156,298.156,,,,,,298.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,"Общество с ограниченной ответственностью Страховая компания ""Чулпан-Жизнь""",101456.11619000002,100438.75354,100438.75354,300,,,,,,,,,,,,,300,300,,,,,,,,,,,,,,,,,100138.75354,,,,,,,,,,,,,100138.75354,73169.48404,4769.83706,21983.20401,177.63243,38.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.23686,,,,,,,639.23686,,,229.89068,274.63708,134.7091,378.12579,378.12579,,,,,,378.12579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4008,"Общество с ограниченной ответственностью ""Общество страхования жизни ""РЕСО-Гарантия""",45782.93724,44286.77972,41533.71018,20181.21219,,,,,,,,,,,,,20181.21219,20181.21218,,,,1e-05,,,,,,,,,,,,,21352.49799,,,,,,,,,,,,,21352.49799,,220.74888,212.09545,1407.3977,19512.25596,,,,,,,,,,,,,2753.06954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2753.06954,,,,,,,,,,,,,2753.06954,,,2753.06954,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.15752,1496.15752,,,,,,1496.15752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4009,"Акционерное общество ""ЕРВ Туристическое Страхование""",353108.61121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143564.76204,213.47174,212.07174,,,,,1.4,143351.2903,143351.2903,,,209543.84917,293.09993,,,,,,,,,,,,,,,,,,,,,,,,,293.09993,,,293.09993,14500.94094,,,,,,,,,,,,,,,,,103.44094,,,,,103.44094,14397.5,,,,,,,,14397.5,,,194749.8083,192949.61474,,1800.19356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",1028378.25092,1028378.25092,1028378.25092,912055.8372,507119.68018,,16954.061,260427.10754,229738.51164,,169878.83389,82265.15971,20295.62831,66554.7705,763.27537,,235018.32313,10242.624,226257.80753,-482.1084,-1000,,39,39,,,,,,,,,,,116322.41372,171,,,171,,,,,,,,,101117.215,,,92221.914,8680.301,215,15034.19872,,,15034.19872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4014,"Акционерное общество ""Страховая компания ""Югория-Жизнь""",352485.22366,209066.91896,22745.82139,19260.6433,,,,,,,,,,,,,2543.3778,,2000,543.3778,,,16717.2655,16717.2655,,,,,,,,,,,3485.17809,,,,,,,,,,,,,3485.17809,,,3574.1821,-100,10.99599,,,,,,,,,,,,,186321.09757,68264.12889,56676.39289,,44458.97169,12217.4212,,,,,,,,,11587.736,,,11587.736,,,,,,,,,,,,,,,118056.96868,20.64962,,50.97852,-30.3289,,,,,,,,,118036.31906,,,114734.83179,1577.34342,1724.14385,,,,,,,,,,,,,,,,,,,,,,,,,,143418.3047,25304.17838,,,,,,25304.17838,118114.12632,,,118114.12632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4079,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",1519467.15661,1237287.91301,479173.47159,386561.73167,,,,,,,386561.73167,11583.26326,61794.19692,171063.15796,156472.56228,-14351.44875,,,,,,,,,,,,,,,,,,,92611.73992,,,,,,,84625.06492,32.67319,2.64324,380.24147,7105.75706,77103.74996,7986.675,,,,7986.675,,,,,,,,,,,,,,758114.44142,643259.37129,643259.37129,,,450365.17177,192894.19952,,,,,,,,,,,,,,,,,,,,,,,,,,114855.07013,,,,,,,,,,,,,114855.07013,,,,114855.07013,,,,,,,,,,,,,,,,,,,,,,,,,,,271085.85306,204344.48972,,,,,,204344.48972,66741.36334,,,66741.36334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11093.39054
4104,"Общество с ограниченной ответственностью ""Страховая компания КАРДИФ""",695275.14543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538315.6647,538315.6647,,,,,,538315.6647,,,,,157910.37956,79562.21814,57395.20389,57395.20389,,,,,,,,,,,,,,,,,,,,,,,22167.01425,,,22167.01425,9024.3702,,,,,,,,,,,,,,,,,9024.3702,,,,,9024.3702,,,,,,,,,,,,69323.79122,,,69323.79122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-950.89883
